supplier_id,supplier_category,disruption_type,historical_unit_price,current_unit_price,historical_reliability_pct,current_reliability_pct,historical_quality_score,current_quality_score,historical_delivery_days,current_delivery_days,max_capacity,min_order_quantity,required_quantity,on_time_delivery_pct,defect_rate_pct,price_volatility_pct,capacity_utilization_pct,disruption_severity_pct,predicted_actual_delivery_days,predicted_final_unit_price,predicted_quality_risk_pct,predicted_overall_risk_score,optimal_allocation_pct
SUP-000025,National,Delivery Delay,108.67,121.98,99.5,99.8,77.74,73.17,8.51,11.16,19941,2233,45734,100.0,23.63,17.49,53.61,14.34,14.19,121.23,35.77,27.26,80.39
SUP-000026,Local,None,81.66,89.36,81.63,85.66,96.24,91.72,2.02,1.0,3497,367,66438,91.77,4.81,10.02,81.8,0.0,1.98,88.88,11.02,21.23,81.76
SUP-000027,Regional,None,115.6,108.04,86.63,81.86,80.68,78.53,1.0,1.0,13877,2345,40494,80.33,18.91,6.94,88.64,0.0,1.84,111.48,27.32,24.64,66.84
SUP-000028,Local,Quality Issue,91.13,92.11,80.84,79.24,77.09,75.77,1.4,1.0,11810,783,77128,85.4,22.39,2.75,93.87,37.74,1.0,90.96,55.01,29.1,73.65
SUP-000029,Local,Capacity Reduction,78.39,81.54,79.07,89.86,87.67,88.69,2.97,3.18,21123,1770,16922,91.04,8.51,5.6,71.01,36.76,3.46,81.08,14.1,15.23,92.47
SUP-000030,National,Price Increase,106.22,104.71,89.16,86.55,81.96,78.42,4.37,5.51,17585,2381,72336,85.3,20.22,10.26,92.24,17.36,5.81,121.96,34.32,34.45,65.42
SUP-000031,National,Delivery Delay,129.49,131.83,91.25,94.76,80.81,78.02,7.44,7.83,4470,1043,60072,90.63,15.91,5.22,77.89,56.07,15.8,133.8,27.19,30.09,73.88
SUP-000032,International,None,101.53,111.47,91.68,93.65,84.06,79.0,11.63,12.41,26280,544,37758,92.61,15.22,11.56,76.36,0.0,14.64,108.24,27.6,28.75,74.02
SUP-000033,Regional,None,92.68,92.08,93.87,99.8,81.98,86.12,4.55,5.69,27774,555,73794,100.0,16.68,8.89,35.84,0.0,5.14,97.93,24.38,24.13,77.48
SUP-000034,Regional,Price Increase,106.78,110.95,88.27,91.95,84.39,89.65,4.53,5.19,21350,706,62324,87.76,5.06,5.13,59.22,42.49,5.34,157.7,14.57,27.73,67.12
SUP-000035,Regional,Quality Issue,116.97,127.36,98.47,94.04,79.56,79.41,4.39,6.27,19277,3442,51411,88.08,19.62,15.1,66.22,59.79,7.18,131.71,61.65,32.76,79.17
SUP-000036,Local,None,83.14,88.29,89.97,97.49,82.98,80.19,5.02,5.09,9150,1074,50318,97.87,14.4,13.83,64.34,0.0,7.0,88.32,23.77,25.87,82.73
SUP-000037,Local,None,86.0,87.31,82.75,75.37,83.73,84.04,4.96,6.83,18358,4095,4270,66.23,19.22,5.5,89.23,0.0,9.67,85.96,22.97,28.44,66.07
SUP-000038,Regional,Delivery Delay,81.5,91.07,85.75,84.52,87.2,84.74,3.87,4.62,3701,315,29343,86.76,11.83,14.59,83.68,34.34,8.04,90.61,19.56,32.51,73.31
SUP-000039,Local,Price Increase,94.86,89.62,81.44,71.05,96.67,98.14,5.9,3.53,25299,1268,62260,63.92,3.1,9.13,56.84,49.36,3.2,136.7,1.77,34.33,64.52
SUP-000040,National,None,111.03,96.69,82.8,86.53,92.53,89.78,6.42,6.4,16455,1855,14173,89.24,11.01,16.05,77.95,0.0,7.25,98.11,16.58,22.16,77.52
SUP-000041,Regional,Price Increase,111.01,114.31,94.56,99.8,92.58,91.86,9.41,7.89,26305,2228,63201,98.47,7.24,7.83,77.25,32.35,9.22,154.85,12.34,28.33,68.45
SUP-000042,National,Quality Issue,113.2,130.76,78.75,84.03,73.45,71.25,9.61,9.53,18833,337,31937,91.43,24.29,19.17,58.05,24.69,10.93,137.01,51.67,33.1,68.92
SUP-000043,National,None,109.33,128.68,99.5,99.8,98.47,100.0,9.67,9.58,16425,1248,72682,100.0,0.73,19.85,71.19,0.0,9.05,132.28,1.22,20.47,80.73
SUP-000044,Regional,None,103.19,96.23,95.91,91.44,96.68,94.08,4.86,1.0,25510,2801,65738,96.2,6.47,10.04,75.9,0.0,1.55,94.61,11.69,20.58,81.66
SUP-000045,National,Price Increase,115.24,110.48,99.5,99.06,93.7,90.34,7.29,5.51,27657,4508,94966,96.57,7.88,16.72,40.73,31.77,7.76,146.47,14.83,35.08,73.72
SUP-000046,National,Price Increase,93.88,81.33,78.54,74.17,91.92,97.95,4.95,5.59,15470,734,99557,65.93,2.55,14.57,72.16,44.74,7.32,117.3,3.77,37.09,62.99
SUP-000047,Regional,None,103.12,104.49,89.32,85.07,91.24,89.12,3.86,2.14,18081,3988,69701,81.2,15.74,19.41,77.55,0.0,3.06,110.48,21.24,26.87,77.0
SUP-000048,Regional,Price Increase,80.13,84.89,92.08,94.1,82.31,77.6,1.71,1.73,5596,439,13677,97.63,20.2,9.6,93.61,50.25,2.01,127.15,32.47,29.08,69.02
SUP-000049,National,Price Increase,121.77,112.83,96.38,82.99,89.13,93.4,6.88,4.7,19313,3666,59537,77.61,8.4,16.63,66.86,34.46,4.4,156.45,13.64,31.91,57.96
SUP-000050,Local,Capacity Reduction,116.71,113.05,82.55,80.16,97.09,94.88,5.51,2.74,16440,4551,16450,83.35,7.73,7.59,90.42,35.82,1.66,114.74,8.21,16.99,80.32
SUP-000051,Local,None,88.07,97.84,90.34,85.27,89.9,91.26,3.54,3.07,16218,3440,3052,85.18,8.69,15.5,47.02,0.0,2.99,100.59,10.9,15.09,83.06
SUP-000052,Local,None,98.86,114.58,82.24,72.51,80.58,70.86,2.88,4.53,6850,479,62737,68.73,23.86,19.17,75.81,0.0,6.02,120.13,41.02,36.0,59.25
SUP-000053,National,None,117.78,126.11,90.11,92.39,88.71,86.16,8.69,9.87,15924,1663,66126,98.64,12.55,9.76,37.79,0.0,7.8,130.14,19.16,22.62,75.44
SUP-000054,National,Delivery Delay,126.76,121.69,96.8,96.73,72.09,71.37,6.86,6.64,14471,467,76086,99.78,23.21,18.45,61.26,53.6,14.44,125.9,37.61,36.04,66.75
SUP-000055,National,Capacity Reduction,106.5,121.8,92.14,86.26,91.95,91.16,7.16,6.52,4048,889,46291,85.84,8.34,21.71,73.29,42.56,7.99,126.85,12.03,30.29,71.4
SUP-000056,National,None,99.63,104.15,97.9,96.81,81.72,80.04,3.43,5.16,25982,3289,99932,100.0,19.14,15.06,50.55,0.0,5.18,113.42,31.36,19.52,83.2
SUP-000057,Regional,Capacity Reduction,105.72,102.8,79.47,82.51,83.15,88.04,8.39,10.51,22514,1262,18758,79.78,8.77,7.61,42.61,38.38,10.2,104.24,14.38,24.06,75.02
SUP-000058,National,None,123.92,118.2,92.74,92.03,92.74,100.0,7.57,8.94,18712,3431,73500,96.02,0.6,7.47,44.42,0.0,9.08,119.03,0.53,20.3,80.8
SUP-000059,Local,Reliability Drop,96.02,78.76,85.01,85.31,91.73,100.0,5.26,3.16,10181,3138,70511,88.05,0.1,20.91,68.17,28.86,2.85,81.81,0.0,27.34,80.83
SUP-000060,Local,Delivery Delay,111.29,126.91,91.44,87.86,83.48,80.29,4.35,6.79,7617,627,18370,87.93,17.26,18.41,78.1,25.28,11.05,127.5,26.04,35.97,69.39
SUP-000061,National,None,120.2,145.37,99.5,90.53,83.24,75.07,6.68,8.71,14102,3882,84079,88.33,20.53,21.81,88.72,0.0,10.06,154.26,36.92,34.59,67.09
SUP-000062,Regional,None,108.9,108.87,99.5,90.65,94.05,91.97,7.08,6.66,8609,1439,52458,90.48,5.01,0.5,39.12,0.0,6.66,107.01,12.77,19.74,86.82
SUP-000063,National,None,107.71,113.4,96.47,97.65,90.87,94.08,7.24,6.13,15173,2117,66384,100.0,7.38,6.25,38.19,0.0,6.51,117.06,10.08,18.76,77.5
SUP-000064,National,None,105.14,104.81,99.5,99.8,89.51,90.21,3.78,1.82,11331,1692,65750,100.0,5.51,2.28,87.08,0.0,1.38,103.59,8.61,9.61,89.88
SUP-000065,National,Price Increase,128.69,131.06,97.5,95.05,88.92,91.31,8.09,10.69,26291,792,24380,93.05,8.73,5.97,38.62,59.05,11.79,211.67,11.16,27.77,69.91
SUP-000066,National,None,97.59,89.31,88.97,99.42,87.06,82.59,8.26,6.31,14132,2750,66107,100.0,18.01,10.82,38.53,0.0,6.94,89.65,27.34,23.48,78.27
SUP-000067,National,Capacity Reduction,114.25,118.58,91.34,92.62,99.8,95.05,7.01,8.02,14883,1644,77721,94.84,4.63,7.58,98.12,23.75,9.51,120.18,7.04,24.9,76.99
SUP-000068,Regional,Price Increase,105.4,121.61,95.89,99.8,86.91,90.2,1.8,2.02,3866,864,89684,100.0,10.72,16.85,91.28,37.58,2.73,169.73,14.23,24.68,79.82
SUP-000069,Local,None,99.21,99.1,93.49,92.24,92.11,94.75,1.0,1.0,21280,449,20339,92.11,2.91,1.47,71.9,0.0,1.19,103.22,8.95,11.81,79.65
SUP-000070,Regional,None,87.04,84.86,93.87,94.16,97.31,99.16,5.02,2.03,26586,2164,4366,99.56,7.21,7.66,83.13,0.0,2.38,88.69,5.44,7.71,85.22
SUP-000071,Local,None,95.96,104.56,91.03,93.18,87.41,82.62,1.0,1.0,19260,506,14348,96.79,13.26,13.15,40.48,0.0,1.57,105.9,22.89,8.0,90.62
SUP-000072,Regional,Price Increase,93.65,88.75,94.37,82.9,85.15,83.65,4.01,3.03,24758,1622,80236,79.14,15.68,14.48,92.2,53.12,2.74,137.48,20.65,28.54,73.51
SUP-000073,International,Price Increase,123.22,120.55,88.08,89.49,85.01,79.43,15.55,16.2,18073,474,89897,91.44,17.29,3.88,62.63,22.25,16.16,146.69,28.99,38.03,74.48
SUP-000074,Local,None,98.09,95.49,75.34,84.28,87.87,95.92,6.39,4.63,15789,4823,64907,86.09,5.29,26.32,35.43,0.0,4.17,95.21,6.22,23.67,77.42
SUP-000075,Local,None,112.84,108.5,93.25,92.05,83.18,78.11,1.0,1.7,16156,3191,70988,92.71,23.02,4.61,48.7,0.0,1.0,109.65,34.88,22.24,77.59
SUP-000076,Regional,Quality Issue,117.28,109.25,80.54,85.17,74.32,71.47,1.0,2.12,3459,1051,18567,86.54,27.29,11.69,47.07,46.64,2.43,106.94,62.55,34.48,72.66
SUP-000077,Regional,None,95.27,101.6,96.47,89.72,79.54,80.94,4.79,6.05,3302,431,91567,89.82,15.89,10.89,74.44,0.0,8.02,100.8,27.03,29.16,76.15
SUP-000078,National,None,125.28,140.56,86.82,91.01,92.81,97.39,7.16,3.78,11580,3945,54564,84.53,1.94,14.2,77.71,0.0,6.07,145.17,8.86,21.57,74.54
SUP-000079,National,None,100.65,107.6,88.0,93.7,85.74,88.15,10.99,14.42,25552,2910,25883,85.19,11.16,9.96,88.06,0.0,13.8,108.96,18.13,26.36,77.11
SUP-000080,National,None,124.06,144.76,86.96,92.96,95.97,97.14,7.47,7.12,22183,2707,79707,97.96,0.21,21.99,65.49,0.0,8.18,148.69,3.24,22.71,78.54
SUP-000081,National,Capacity Reduction,93.95,100.49,95.54,99.8,83.76,85.24,5.8,6.55,3051,463,98621,94.35,13.55,9.18,45.02,56.02,7.44,102.78,20.76,22.48,80.04
SUP-000082,Regional,Capacity Reduction,117.89,118.91,83.72,85.06,84.6,82.6,4.79,4.44,7810,1501,20216,86.85,20.32,2.51,96.07,16.1,4.44,120.57,27.4,25.54,65.79
SUP-000083,National,None,99.57,98.07,98.79,99.8,95.62,95.35,6.04,6.37,5001,1593,28924,100.0,7.69,7.55,62.09,0.0,8.17,96.84,6.01,18.15,82.29
SUP-000084,Local,None,90.98,92.06,70.6,57.81,81.68,72.18,4.27,1.55,5899,1425,58649,54.14,26.77,1.43,62.2,0.0,2.28,93.66,43.17,37.43,52.82
SUP-000085,Local,Price Increase,92.97,100.39,83.84,90.66,97.27,91.15,5.69,4.05,5604,551,51505,96.08,7.17,10.87,69.03,12.82,4.17,116.05,13.72,20.45,86.19
SUP-000086,Local,None,87.89,90.16,93.11,88.72,88.13,81.41,4.79,3.91,28434,2825,90951,88.08,16.08,4.38,52.37,0.0,6.37,91.78,25.74,24.7,83.61
SUP-000087,National,Quality Issue,124.38,136.79,92.17,87.51,90.55,89.87,5.1,4.65,18062,199,25154,89.86,9.47,15.57,70.86,16.13,4.58,133.74,23.65,19.42,79.14
SUP-000088,Regional,Price Increase,79.56,74.87,97.4,99.8,81.76,85.45,4.25,3.38,19992,2675,50079,97.84,13.13,7.64,41.59,40.72,3.57,108.79,19.61,23.36,84.61
SUP-000089,Local,Reliability Drop,101.18,99.42,88.35,89.3,78.51,83.67,1.0,1.0,13809,1502,30718,95.8,21.25,6.88,79.88,45.61,1.15,98.79,30.27,25.81,82.15
SUP-000090,Regional,None,107.26,111.37,99.5,99.8,90.79,86.49,6.55,5.69,12482,2271,11316,91.69,6.71,5.58,37.62,0.0,6.03,113.26,14.69,12.68,87.34
SUP-000091,Local,Price Increase,82.46,76.62,94.07,85.5,94.17,89.86,5.02,5.24,5230,224,94101,85.69,11.35,19.66,48.0,38.22,7.22,103.89,15.85,31.76,74.09
SUP-000092,National,None,102.61,106.58,88.56,96.21,95.91,99.58,7.07,7.05,18268,4450,36850,96.6,0.1,14.11,71.49,0.0,8.08,109.87,0.0,19.64,83.29
SUP-000093,Regional,Quality Issue,88.06,72.84,94.45,95.15,98.5,100.0,6.99,7.44,12963,735,72227,89.7,0.1,21.32,70.2,39.15,8.92,75.54,18.61,29.82,79.82
SUP-000094,Regional,Price Increase,96.17,101.81,74.91,77.06,88.6,94.44,6.63,5.81,17318,1345,9651,73.17,7.44,13.84,60.3,35.84,7.91,137.75,7.71,23.97,66.21
SUP-000095,Regional,Capacity Reduction,110.91,106.63,83.56,91.45,82.28,80.49,4.02,3.99,12078,1793,88089,93.48,18.09,4.68,48.84,21.44,3.96,108.22,29.92,20.1,84.29
SUP-000096,National,None,103.46,101.64,96.23,99.8,99.8,96.61,6.31,7.41,22003,3314,9727,96.68,7.89,12.33,63.83,0.0,7.58,105.97,7.27,12.0,92.63
SUP-000097,Regional,Price Increase,103.45,98.03,93.37,95.91,89.57,86.68,6.57,5.25,7533,2415,3717,90.46,10.67,19.78,35.67,32.99,5.75,129.92,16.88,19.77,78.59
SUP-000098,Local,Price Increase,93.78,93.9,83.92,78.05,89.96,93.56,5.12,4.83,6875,1579,35747,80.04,8.0,8.01,37.83,39.84,6.78,129.96,8.46,34.65,65.21
SUP-000099,Local,None,119.1,111.0,86.39,89.99,83.56,81.84,1.0,1.0,28023,2463,45365,88.75,11.52,17.71,51.06,0.0,1.0,112.53,20.29,20.0,80.16
SUP-000100,International,Delivery Delay,113.57,105.68,88.82,80.84,99.66,100.0,16.42,16.74,15227,1763,18700,87.75,2.32,9.16,76.23,27.69,20.23,105.55,0.0,30.77,71.18
SUP-000101,International,Price Increase,101.72,104.72,83.44,89.16,91.65,94.06,12.39,9.23,19720,1087,16373,85.7,6.56,14.98,46.98,32.24,9.82,140.55,8.82,26.15,69.8
SUP-000102,National,Price Increase,110.89,87.17,85.44,84.64,86.58,87.62,6.93,6.42,19752,1224,13294,87.42,15.29,21.96,80.71,26.65,6.59,114.28,20.99,24.35,71.04
SUP-000103,Regional,None,108.38,104.76,94.58,87.9,87.83,80.87,4.69,3.64,11294,709,54555,95.64,16.83,5.43,76.56,0.0,4.84,102.93,26.61,25.83,74.0
SUP-000104,International,Capacity Reduction,105.52,111.46,82.0,74.82,99.8,98.77,11.69,10.84,23880,1323,50585,71.3,6.26,11.48,65.52,24.87,10.46,114.88,1.93,30.35,63.88
SUP-000105,National,None,123.48,116.77,99.5,97.7,99.8,93.27,9.76,14.1,16021,1061,15344,94.84,11.4,9.33,61.83,0.0,14.99,118.95,17.56,25.01,78.23
SUP-000106,National,Price Increase,88.58,95.6,99.16,96.27,89.5,98.98,9.93,10.51,23247,2067,85263,93.07,6.92,17.05,26.39,21.76,10.68,121.27,6.91,31.91,84.38
SUP-000107,Regional,Reliability Drop,94.89,84.6,97.28,97.84,80.67,73.1,3.11,5.29,19348,515,55387,99.12,21.47,12.95,88.87,49.43,7.38,85.1,37.16,32.18,77.87
SUP-000108,Regional,None,100.25,90.99,86.87,77.71,85.6,85.6,4.32,2.34,17083,4356,46043,74.05,12.78,19.02,88.97,0.0,3.73,90.4,20.91,26.95,74.75
SUP-000109,Local,Reliability Drop,106.75,91.69,80.08,76.58,89.91,88.76,8.81,6.91,11837,2669,86409,75.47,12.28,24.08,65.29,46.95,8.82,97.28,12.83,40.24,60.87
SUP-000110,International,Reliability Drop,128.95,112.18,86.77,88.58,82.98,77.97,9.58,8.55,14691,2209,40729,77.43,17.51,14.97,90.42,12.47,9.61,111.34,29.78,32.28,73.41
SUP-000111,Regional,None,116.67,107.19,90.31,80.17,85.06,85.47,2.58,3.27,16724,2154,86292,74.47,17.4,16.38,86.33,0.0,4.95,106.71,21.23,28.35,63.55
SUP-000112,Local,None,96.94,101.5,86.6,79.8,83.87,80.38,1.0,3.67,28305,2376,20461,73.48,12.32,8.55,84.99,0.0,4.89,105.83,22.11,25.05,73.45
SUP-000113,Regional,Delivery Delay,113.6,102.66,87.68,88.32,91.41,91.07,7.45,6.6,3190,678,93638,92.94,6.7,11.19,51.53,29.01,10.92,104.57,15.86,29.78,76.07
SUP-000114,National,Quality Issue,115.99,112.59,94.43,97.54,92.69,97.88,7.82,7.45,9107,1682,22161,96.63,0.1,10.64,55.24,23.48,8.05,114.82,14.86,20.07,85.25
SUP-000115,Local,None,96.57,85.39,88.09,82.63,99.8,88.44,4.15,2.43,20183,4277,96542,83.75,10.77,12.08,65.09,0.0,2.5,87.13,17.73,22.48,73.62
SUP-000116,International,Reliability Drop,106.01,108.08,87.38,86.27,95.1,99.01,10.19,7.95,12094,259,19389,83.15,0.96,7.63,75.21,24.66,8.22,110.9,3.59,22.6,79.71
SUP-000117,National,None,110.82,102.76,87.64,88.6,94.46,94.41,6.45,7.45,22022,1317,38609,80.63,0.1,8.68,81.31,0.0,8.48,100.4,2.85,20.77,82.27
SUP-000118,National,None,123.2,134.49,82.35,83.19,76.62,76.58,9.84,8.6,22391,850,73919,84.59,29.11,11.26,51.07,0.0,7.05,139.23,41.37,30.57,72.09
SUP-000119,Regional,Reliability Drop,101.06,103.02,93.39,87.85,85.16,77.92,5.94,6.47,4301,593,59627,85.84,24.08,5.13,96.08,30.1,7.96,103.29,36.37,31.82,69.84
SUP-000120,National,None,103.45,89.72,96.81,99.8,84.28,83.4,6.03,7.59,19264,4654,79871,100.0,22.02,19.77,63.85,0.0,6.3,94.33,29.4,24.22,88.19
SUP-000121,National,Delivery Delay,121.89,100.88,95.65,94.64,82.85,85.69,9.2,8.67,16566,3885,88266,95.91,12.41,22.73,66.48,38.21,16.18,102.62,19.08,31.17,79.14
SUP-000122,National,None,102.73,101.76,96.4,98.28,93.15,97.3,5.48,5.73,7019,663,7066,100.0,2.07,10.24,59.05,0.0,4.94,98.74,2.91,7.75,84.37
SUP-000123,Local,None,101.7,92.92,99.5,99.8,82.95,78.06,4.5,4.88,17161,1739,7513,95.49,21.55,11.44,77.94,0.0,4.74,91.51,35.31,18.71,92.06
SUP-000124,Regional,Quality Issue,104.68,106.29,92.26,99.8,85.83,86.94,3.8,3.96,20287,3313,74322,89.65,9.74,3.84,56.27,12.67,4.03,103.38,23.27,22.35,83.55
SUP-000125,Local,None,105.86,107.85,88.46,90.65,83.3,81.32,3.99,6.09,17972,1377,83794,82.76,14.97,3.52,48.41,0.0,8.03,109.25,24.75,24.81,77.55
SUP-000126,Regional,Capacity Reduction,109.68,114.05,84.39,82.34,83.72,83.06,3.04,3.9,13097,1179,53683,90.3,16.0,4.95,71.95,44.91,5.31,114.88,25.02,24.32,74.77
SUP-000127,Regional,Reliability Drop,107.99,115.33,93.27,85.51,85.94,86.18,5.33,5.69,6941,1068,27963,81.99,14.7,9.94,69.47,30.66,6.35,113.9,23.81,30.36,67.33
SUP-000128,Local,Delivery Delay,91.12,87.74,88.43,81.93,99.8,98.9,1.2,1.0,27399,3710,28466,82.63,0.1,10.21,76.15,27.48,6.61,89.95,0.0,17.53,74.96
SUP-000129,Local,Quality Issue,88.83,96.17,80.4,80.49,92.77,100.0,1.59,1.0,24074,1444,69946,80.76,3.96,16.39,45.59,20.18,3.77,101.22,11.99,28.32,71.47
SUP-000130,National,Quality Issue,111.9,99.19,92.05,90.98,93.74,93.01,8.37,6.7,26602,2678,84337,88.31,11.19,15.59,72.42,49.91,6.29,99.7,38.48,26.71,78.41
SUP-000131,Local,None,97.87,103.54,94.6,92.16,89.24,93.7,6.01,4.6,7401,1793,76118,94.08,4.47,13.2,85.75,0.0,6.46,105.72,8.96,22.61,75.41
SUP-000132,International,Capacity Reduction,141.71,138.07,78.15,83.44,99.8,91.06,13.79,15.64,15432,2473,98366,77.52,5.43,6.74,50.55,35.57,17.19,137.04,13.22,38.36,67.32
SUP-000133,National,None,112.3,123.8,92.08,95.86,84.95,88.03,8.31,8.32,11633,1914,19629,88.39,11.76,11.2,71.41,0.0,7.04,128.61,18.09,23.16,78.43
SUP-000134,Regional,Capacity Reduction,101.13,114.65,92.3,86.51,99.8,100.0,4.8,3.28,16100,2506,54033,94.82,1.61,29.13,97.75,28.07,3.52,120.62,4.54,23.94,69.44
SUP-000135,National,Delivery Delay,101.26,110.67,88.96,84.83,99.8,93.13,8.95,8.27,13019,163,8857,78.11,6.31,15.97,42.61,23.21,12.56,118.46,11.11,27.24,74.92
SUP-000136,Local,None,82.82,90.51,90.29,79.52,99.8,100.0,3.28,4.64,27952,970,58544,73.98,4.09,19.17,43.22,0.0,5.7,88.37,3.94,28.23,72.31
SUP-000137,International,Delivery Delay,93.96,93.98,88.79,84.22,90.24,95.48,16.28,17.64,17611,860,46549,82.91,6.07,1.87,49.91,30.2,21.98,94.51,9.73,38.43,69.54
SUP-000138,Regional,None,87.18,67.51,99.5,99.8,86.73,81.11,9.22,9.33,9496,1088,15975,93.44,18.4,26.17,61.04,0.0,10.37,69.9,27.11,23.02,85.43
SUP-000139,National,Capacity Reduction,104.58,114.95,83.34,84.14,79.71,73.1,8.92,8.96,5672,1347,70784,82.3,25.85,10.13,58.67,57.49,10.08,112.64,40.72,33.45,67.61
SUP-000140,Local,None,106.65,107.66,99.5,94.79,75.69,78.76,4.22,3.52,11480,3545,25674,88.64,19.59,3.81,49.98,0.0,5.31,104.94,29.98,20.89,80.4
SUP-000141,Regional,None,105.1,112.67,97.52,96.05,99.19,92.99,2.99,1.0,27797,833,31579,97.42,3.11,9.42,34.35,0.0,3.45,111.79,9.43,12.04,85.87
SUP-000142,Regional,Capacity Reduction,88.29,86.46,99.5,99.8,92.87,94.01,3.99,4.16,4840,569,24834,100.0,6.67,4.7,96.31,59.23,2.36,85.67,10.31,14.47,88.07
